category,food_id,food_name,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,metric_serving_amount,metric_serving_unit,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,serving_description,serving_id,serving_url,sodium,sugar,vitamin_a,vitamin_c,,,,,,
fast,4540,Quick or Instant Cream Of Wheat (Fat Not Added in Cooking),39,44,9.1,0,0.16,0.3,3.3,g,100,g,0.022,100,0.087,15,1.24,0.025,100 g,53220,https://www.fatsecret.com/calories-nutrition/generic/wheat-cream-of-cooked-quick-or-instant-fat-not-added-in-cooking?portionid=53220&portionamount=100.000,179,0.05,0,0,,,,,,
fast,4542,Quick Cream Of Wheat (Fat Not Added in Cooking),39,44,9.1,0,0.16,0.3,3.3,g,100,g,0.022,100,0.087,15,1.24,0.025,100 g,53222,https://www.fatsecret.com/calories-nutrition/generic/wheat-cream-of-cooked-quick-fat-not-added-in-cooking?portionid=53222&portionamount=100.000,179,0.05,0,0,,,,,,
fast,1270,Fat Free Parmesan Cheese Topping,800,370,40,20,5,0,5,g,100,g,1.446,100,0.186,600,40,3.11,100 g,49950,https://www.fatsecret.com/calories-nutrition/generic/parmesan-cheese-topping-fat-free?portionid=49950&portionamount=100.000,1150,1.5,40,0,,,,,,
fast,3208,Cooked Mung (Fat Not Added in Cooking),38,112,20.22,0,0.37,5.3,1.74,serving (100g),100,g,0.052,1,0.124,282,7.7,0.112,1 serving (100 g),10499,https://www.fatsecret.com/calories-nutrition/generic/mung-beans-fat-not-added-in-cooking?portionid=10499&portionamount=1.000,231,2.13,2,1,,,,,,
fast,3202,"""Cooked Pinto"," Calico or Red Beans (Fat Added in Cooking)""",32,176,19.05,0,8.34,4.7,1.32,g,100,g,2.757,100,4.042,318,6.52,1.076,100 g,51882,https://www.fatsecret.com/calories-nutrition/generic/pinto-calico-or-red-mexican-beans-dry-cooked-fat-added-in-cooking?portionid=51882&portionamount=100.000,198,0.64,0,1.3,,,,,
fast,4532,Converted White Rice (Fat Added in Cooking),19,137,25.2,0,2.41,0.9,1.75,g,100,g,1.042,100,0.691,55,2.82,0.457,100 g,53212,https://www.fatsecret.com/calories-nutrition/generic/rice-white-cooked-converted-fat-added-in-cooking?portionid=53212&portionamount=100.000,340,0.11,21,0,,,,,,
fast,4533,Brown Rice (Fat Added in Cooking),10,124,22.3,0,2.72,1.7,0.41,g,100,g,1.191,100,0.856,42,2.5,0.522,100 g,53213,https://www.fatsecret.com/calories-nutrition/generic/rice-brown-cooked-regular-fat-added-in-cooking?portionid=53213&portionamount=100.000,309,0.34,19,0,,,,,,
fast,6713,"""Cooked Vegetable Combinations (Broccoli", Carrots, Corn, Cauliflower," Fat Not Added in Cooking)""",25,40,8.56,0,0.41,2.9,0.53,g,100,g,0.053,100,0.197,174,2,0.067,100 g,55393,https://www.fatsecret.com/calories-nutrition/generic/vegetable-combinations-(broccoli-carrots-corn-cauliflower-etc)-cooked-fat-not-added-in-cooking?portionid=55393&portionamount=100.000,255,2.48,269,20,,
fast,4535,Instant Brown Rice (Fat Not Added in Cooking),10,110,22.78,0,0.89,1.8,0.42,g,100,g,0.325,100,0.321,43,2.56,0.179,100 g,53215,https://www.fatsecret.com/calories-nutrition/generic/rice-brown-cooked-instant-fat-not-added-in-cooking?portionid=53215&portionamount=100.000,301,0.35,0,0,,,,,,
fast,4536,Instant Brown Rice (Fat Added in Cooking),10,124,22.3,0,2.72,1.7,0.41,g,100,g,1.191,100,0.856,42,2.5,0.522,100 g,53216,https://www.fatsecret.com/calories-nutrition/generic/rice-brown-cooked-instant-fat-added-in-cooking?portionid=53216&portionamount=100.000,309,0.34,19,0,,,,,,
fast,5868,Cooked Chard (Fat Not Added in Cooking),58,20,4.11,0,0.08,2.1,2.25,g,100,g,0.016,100,0.028,546,1.87,0.012,100 g,54548,https://www.fatsecret.com/calories-nutrition/generic/chard-cooked-fat-not-added-in-cooking?portionid=54548&portionamount=100.000,389,1.09,304,17.9,,,,,,
fast,5869,Cooked Chard (Fat Added in Cooking),56,38,4.05,0,2.13,2,2.19,g,100,g,0.983,100,0.628,532,1.83,0.396,100 g,54549,https://www.fatsecret.com/calories-nutrition/generic/chard-cooked-fat-added-in-cooking?portionid=54549&portionamount=100.000,396,1.07,318,17.4,,,,,,
fast,3209,Cooked Mung (Fat Added in Cooking),35,170,18.71,0,7.81,4.9,1.62,g,100,g,2.57,100,3.792,261,7.13,1.047,100 g,51889,https://www.fatsecret.com/calories-nutrition/generic/mung-beans-fat-added-in-cooking?portionid=51889&portionamount=100.000,214,1.97,2,0.9,,,,,,
fast,40483,"""Beef Flank (Lean Only", Trimmed to 0\ Fat, Select Grade, Cooked," Broiled)""",20,178,0,43,6.48,0,1.71,g,100,g,2.554,100,0.256,365,27.96,2.688,100 g,63214,https://www.fatsecret.com/calories-nutrition/usda/beef-flank-(lean-only-trimmed-to-0-fat-select-grade-cooked-broiled)?portionid=63214&portionamount=100.000,59,0,0,0,,
fast,40482,"""Beef Flank (Lean Only", Trimmed to 0\ Fat, Cooked," Broiled)""",18,186,0,49,7.4,0,1.74,g,100,g,2.917,100,0.292,350,27.89,3.07,100 g,63213,https://www.fatsecret.com/calories-nutrition/usda/beef-flank-(lean-only-trimmed-to-0-fat-cooked-broiled)?portionid=63213&portionamount=100.000,57,0,0,0,,,
fast,40481,"""Beef Tip Round (Lean Only", Trimmed to 0\ Fat," Select Grade)""",20,122,0,53,3.35,0,1.78,g,100,g,1.367,100,0.168,337,21.38,1.147,100 g,63212,https://www.fatsecret.com/calories-nutrition/usda/beef-tip-round-(lean-only-trimmed-to-0-fat-select-grade)?portionid=63212&portionamount=100.000,58,0,0,0,,,,
fast,40480,"""Beef Tip Round (Lean Only", Trimmed to 0\ Fat," Choice Grade)""",18,130,0,72,4.55,0,1.92,g,100,g,1.855,100,0.227,318,20.76,1.556,100 g,63211,https://www.fatsecret.com/calories-nutrition/usda/beef-tip-round-(lean-only-trimmed-to-0-fat-choice-grade)?portionid=63211&portionamount=100.000,52,0,0,0,,,,
fast,4550,Bulgur (Fat Not Added in Cooking),10,83,18.48,0,0.24,4.5,0.96,g,100,g,0.031,100,0.097,68,3.06,0.042,100 g,53230,https://www.fatsecret.com/calories-nutrition/generic/bulgur-cooked-or-canned-fat-not-added-in-cooking?portionid=53230&portionamount=100.000,219,0.1,0,0,,,,,,
fast,40487,"""Beef Brisket (Flat Half", Trimmed to 1/8\ Fat," Select Grade)""",17,276,0,81,22.21,0,1.5,g,100,g,9.511,100,0.845,271,17.77,8.963,100 g,63218,https://www.fatsecret.com/calories-nutrition/usda/beef-brisket-(flat-half-trimmed-to-1-8-fat-select-grade)?portionid=63218&portionamount=100.000,58,0,0,0,,,,
fast,4551,Bulgur (Fat Added in Cooking),10,123,17.41,0,5.32,4.2,0.9,g,100,g,2.438,100,1.587,64,2.88,0.997,100 g,53231,https://www.fatsecret.com/calories-nutrition/generic/bulgur-cooked-or-canned-fat-added-in-cooking?portionid=53231&portionamount=100.000,247,0.09,53,0,,,,,,
fast,40486,"""Beef Brisket (Flat Half", Trimmed to 1/8\ Fat," Choice Grade)""",15,277,0.12,81,22.15,0,1.68,g,100,g,9.485,100,0.843,281,18.12,8.939,100 g,63217,https://www.fatsecret.com/calories-nutrition/usda/beef-brisket-(flat-half-trimmed-to-1-8-fat-choice-grade)?portionid=63217&portionamount=100.000,61,0,0,0,,,,
fast,40485,"""Beef Flank (Lean Only", Trimmed to 0\ Fat," Select Grade)""",21,137,0,34,5,0,1.54,g,100,g,1.967,100,0.195,341,21.43,2.074,100 g,63216,https://www.fatsecret.com/calories-nutrition/usda/beef-flank-(lean-only-trimmed-to-0-fat-select-grade)?portionid=63216&portionamount=100.000,53,0,0,0,,,,
fast,40488,"""Beef Brisket (Flat Half", Trimmed to 1/8\ Fat, Choice Grade, Cooked," Braised)""",16,298,0,80,19.47,0,2.46,g,100,g,8.388,100,0.72,227,28.66,8.219,100 g,63219,https://www.fatsecret.com/calories-nutrition/usda/beef-brisket-(flat-half-trimmed-to-1-8-fat-choice-grade-cooked-braised)?portionid=63219&portionamount=100.000,46,0,0,0,,
fast,4303,No Added Fat Rye Crispbread,31,366,82.2,0,1.3,16.5,2.43,g,100,g,0.165,100,0.557,319,7.9,0.145,100 g,52983,https://www.fatsecret.com/calories-nutrition/generic/crispbread-rye-no-added-fat?portionid=52983&portionamount=100.000,264,1.07,0,0,,,,,,
fast,6726,"""Cooked Hot Peppers (from Fresh"," Fat Not Added in Cooking)""",18,42,9.85,0,0.21,1.6,1.19,g,100,g,0.011,100,0.114,319,2.08,0.022,100 g,55406,https://www.fatsecret.com/calories-nutrition/generic/peppers-hot-cooked-from-fresh-fat-not-added-in-cooking?portionid=55406&portionamount=100.000,7,5.31,55,202.1,,,,,
fast,6725,Cooked Red Peppers (Fat Added in Cooking),9,50,6.5,0,2.81,1.2,0.45,g,100,g,1.248,100,0.869,160,0.89,0.519,100 g,55405,https://www.fatsecret.com/calories-nutrition/generic/peppers-red-cooked-fat-added-in-cooking?portionid=55405&portionamount=100.000,243,4.22,292,164.4,,,,,,
fast,4548,Quick or Instant Cream Of Wheat (Fat Added in Cooking),38,71,8.87,0,3.33,0.3,3.19,g,100,g,1.52,100,1.015,15,1.2,0.62,100 g,53228,https://www.fatsecret.com/calories-nutrition/generic/wheat-cream-of-cooked-quick-or-instant-fat-added-in-cooking?portionid=53228&portionamount=100.000,199,0.05,33,0,,,,,,
fast,4549,Rolled Wheat (Fat Not Added in Cooking),8,47,10.29,0,0.27,1.3,0.44,g,100,g,0.039,100,0.138,51,1.53,0.041,100 g,53229,https://www.fatsecret.com/calories-nutrition/generic/wheat-rolled-cooked-fat-not-added-in-cooking?portionid=53229&portionamount=100.000,129,0.06,0,0,,,,,,
fast,6727,"""Cooked Hot Peppers (from Frozen"," Fat Not Added in Cooking)""",18,42,9.85,0,0.21,1.6,1.19,g,100,g,0.011,100,0.114,319,2.08,0.022,100 g,55407,https://www.fatsecret.com/calories-nutrition/generic/peppers-hot-cooked-from-frozen-fat-not-added-in-cooking?portionid=55407&portionamount=100.000,7,5.31,55,202.1,,,,,
fast,40472,"""Beef Ribs (Small End", Lean Only, Trimmed to 1/8\ Fat, Cooked," Broiled)""",19,195,0,71,7.63,0,1.88,g,100,g,3.048,100,0.273,378,29.58,2.907,100 g,63203,https://www.fatsecret.com/calories-nutrition/usda/beef-ribs-(small-end-lean-only-trimmed-to-1-8-fat-cooked-broiled)?portionid=63203&portionamount=100.000,62,0,0,0,,
fast,40471,"""Beef Bottom Round (Lean Only", Trimmed to 1/8\ Fat," Select Grade)""",21,128,0,50,3.66,0,1.9,g,100,g,1.542,100,0.157,361,22.18,1.253,100 g,63202,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-round-(lean-only-trimmed-to-1-8-fat-select-grade)?portionid=63202&portionamount=100.000,62,0,0,0,,,,
fast,5890,Cooked Cress (Fat Added in Cooking),59,46,3.71,0,3.21,0.7,0.77,g,100,g,1.44,100,0.96,339,1.83,0.513,100 g,54570,https://www.fatsecret.com/calories-nutrition/generic/cress-cooked-fat-added-in-cooking?portionid=54570&portionamount=100.000,294,2.98,263,22.1,,,,,,
fast,39485,Vanilla Puddings (Fat Free),60,93,22.68,1,0.06,0,0.36,g,100,g,0.022,100,0.005,72,2.2,0.024,100 g,62216,https://www.fatsecret.com/calories-nutrition/usda/vanilla-puddings-(fat-free)?portionid=62216&portionamount=100.000,213,15.9,40,0,,,,,,
fast,40470,"""Beef Top Round (Lean Only", Trimmed to 1/8\ Fat," Select Grade)""",22,129,0,46,3.37,0,1.97,g,100,g,1.42,100,0.145,373,23.13,1.154,100 g,63201,https://www.fatsecret.com/calories-nutrition/usda/beef-top-round-(lean-only-trimmed-to-1-8-fat-select-grade)?portionid=63201&portionamount=100.000,64,0,0,0,,,,
fast,4560,Cream of Wheat (Fat Added in Cooking),37,71,8.81,0,3.35,0.4,3.11,g,100,g,1.526,100,1.028,14,1.21,0.625,100 g,53240,https://www.fatsecret.com/calories-nutrition/generic/wheat-cream-of-cooked-regular-fat-added-in-cooking?portionid=53240&portionamount=100.000,154,0.02,33,0,,,,,,
fast,5892,"""Cooked Cress (from Canned"," Fat Added in Cooking)""",59,46,3.71,0,3.21,0.7,0.77,g,100,g,1.44,100,0.96,339,1.83,0.513,100 g,54572,https://www.fatsecret.com/calories-nutrition/generic/cress-cooked-from-canned-fat-added-in-cooking?portionid=54572&portionamount=100.000,294,2.98,263,22.1,,,,,
fast,4561,Quick Cream Of Wheat (Fat Added in Cooking),38,71,8.87,0,3.33,0.3,3.19,g,100,g,1.52,100,1.015,15,1.2,0.62,100 g,53241,https://www.fatsecret.com/calories-nutrition/generic/wheat-cream-of-cooked-quick-fat-added-in-cooking?portionid=53241&portionamount=100.000,199,0.05,33,0,,,,,,
fast,39487,Chocolate Puddings (Fat Free),73,97,20.3,1,0.4,0.8,0.8,g,100,g,0.122,100,0.013,140,3.06,0.245,100 g,62218,https://www.fatsecret.com/calories-nutrition/usda/chocolate-puddings-(fat-free)?portionid=62218&portionamount=100.000,170,15.3,47,0,,,,,,
fast,40476,"""Beef Bottom Sirloin (Tri-Tip Roast", Lean Only, Trimmed to 0\ Fat," Choice Grade)""",27,154,0,53,7.06,0,1.54,g,100,g,3.045,100,0.288,323,21.17,2.132,100 g,63207,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-lean-only-trimmed-to-0-fat-choice-grade)?portionid=63207&portionamount=100.000,54,0,0,0,,,
fast,39486,Tapioca Puddings (Fat Free),50,89,20.4,1,0.04,0,0.35,g,100,g,0,100,0,53,1.8,0,100 g,62217,https://www.fatsecret.com/calories-nutrition/usda/tapioca-puddings-(fat-free)?portionid=62217&portionamount=100.000,212,15.9,32,0,,,,,,
fast,40475,"""Beef Bottom Sirloin (Tri-Tip Roast", Lean Only, Trimmed to 0\ Fat, Choice Grade, Cooked," Roasted)""",15,193,0,83,9.73,0,1.77,g,100,g,4.907,100,0.312,324,26.34,3.527,100 g,63206,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-lean-only-trimmed-to-0-fat-choice-grade-cooked-roasted)?portionid=63206&portionamount=100.000,54,0,0,0,
fast,6500,Cooked Bitter Melon (Fat Not Added in Cooking),9,19,4.29,0,0.18,2,0.38,g,100,g,0.033,100,0.078,317,0.84,0.014,100 g,55180,https://www.fatsecret.com/calories-nutrition/generic/bitter-melon-cooked-fat-not-added-in-cooking?portionid=55180&portionamount=100.000,237,1.94,6,32.8,,,,,,
fast,40474,"""Beef Bottom Sirloin (Tri-Tip Roast", Lean Only," Trimmed to 0\ Fat)""",23,142,0,43,5.63,0,1.54,g,100,g,2.47,100,0.234,333,21.26,1.729,100 g,63205,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-lean-only-trimmed-to-0-fat)?portionid=63205&portionamount=100.000,54,0,0,0,,,,
fast,4564,Wheat Hearts (Fat Not Added in Cooking),8,46,10.2,0,0.27,1.3,0.44,g,100,g,0.038,100,0.137,50,1.52,0.041,100 g,53244,https://www.fatsecret.com/calories-nutrition/generic/wheat-hearts-cooked-fat-not-added-in-cooking?portionid=53244&portionamount=100.000,130,0.06,0,0,,,,,,
fast,40478,"""Beef Bottom Sirloin (Tri-Tip Roast", Lean Only, Trimmed to 0\ Fat," Select Grade)""",22,129,0,37,4.21,0,1.55,g,100,g,2.144,100,0.203,344,21.34,1.5,100 g,63209,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-lean-only-trimmed-to-0-fat-select-grade)?portionid=63209&portionamount=100.000,54,0,0,0,,,
fast,40477,"""Beef Bottom Sirloin (Tri-Tip Roast", Lean Only, Trimmed to 0\ Fat, Select Grade, Cooked," Roasted)""",20,179,0,59,6.95,0,1.68,g,100,g,3.502,100,0.223,359,27.17,2.517,100 g,63208,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-lean-only-trimmed-to-0-fat-select-grade-cooked-roasted)?portionid=63208&portionamount=100.000,58,0,0,0,
fast,1292,Lowfat (1-2% Fat) Cottage Cheese,61,72,2.72,4,1.02,0,0.14,g,100,g,0.291,100,0.031,86,12.39,0.645,100 g,49972,https://www.fatsecret.com/calories-nutrition/generic/cheese-cottage-lowfat-(1-2%25-fat)?portionid=49972&portionamount=100.000,406,2.72,11,0,,,,,,
fast,3468,Toasted 98% Fat Free Lowfat Bread,130,298,54.92,0,3.84,3,3.23,g,100,g,0.892,100,1.527,121,9.67,0.939,100 g,52148,https://www.fatsecret.com/calories-nutrition/generic/bread-lowfat-98%25-fat-free-toasted?portionid=52148&portionamount=100.000,642,0.91,0,0,,,,,,
fast,3467,98% Fat Free Lowfat Bread,118,271,49.98,0,3.5,2.7,2.94,g,100,g,0.812,100,1.389,110,8.8,0.855,100 g,52147,https://www.fatsecret.com/calories-nutrition/generic/bread-lowfat-98%25-fat-free?portionid=52147&portionamount=100.000,584,0.83,0,0,,,,,,
fast,4554,Couscous (Fat Not Added in Cooking),8,111,23.11,0,0.16,1.4,0.38,g,100,g,0.022,100,0.064,58,3.77,0.029,100 g,53234,https://www.fatsecret.com/calories-nutrition/generic/couscous-plain-cooked-fat-not-added-in-cooking?portionid=53234&portionamount=100.000,189,0.1,0,0,,,,,,
fast,4313,Reduced Fat 100% Whole Wheat Cracker,38,405,70.93,0,10.39,13,3.73,g,100,g,3.682,100,3.912,389,13.23,1.864,100 g,52993,https://www.fatsecret.com/calories-nutrition/generic/cracker-100%25-whole-wheat-reduced-fat?portionid=52993&portionamount=100.000,423,0.39,0,0,,,,,,
fast,4556,Couscous (Fat Added in Cooking),8,145,21.91,0,4.61,1.3,0.36,g,100,g,2.125,100,1.367,56,3.57,0.864,100 g,53236,https://www.fatsecret.com/calories-nutrition/generic/couscous-plain-cooked-fat-added-in-cooking?portionid=53236&portionamount=100.000,216,0.09,46,0,,,,,,
fast,5887,Cooked Cress (Fat Not Added in Cooking),61,23,3.77,0,0.6,0.7,0.8,g,100,g,0.204,100,0.195,351,1.89,0.02,100 g,54567,https://www.fatsecret.com/calories-nutrition/generic/cress-cooked-fat-not-added-in-cooking?portionid=54567&portionamount=100.000,282,3.09,243,22.8,,,,,,
fast,4316,Reduced Fat Wheat Crackers,100,426,72.47,0,11.87,6,5,g,100,g,4.437,100,4.44,220,9.46,2.129,100 g,52996,https://www.fatsecret.com/calories-nutrition/generic/crackers-wheat-reduced-fat?portionid=52996&portionamount=100.000,709,7.26,0,0,,,,,,
fast,4559,Whole Wheat Cereal (Fat Added in Cooking),7,73,9.94,0,3.39,1.2,0.43,g,100,g,1.516,100,1.05,49,1.48,0.627,100 g,53239,https://www.fatsecret.com/calories-nutrition/generic/whole-wheat-cereal-cooked-fat-added-in-cooking?portionid=53239&portionamount=100.000,151,0.06,33,0,,,,,,
fast,4570,Oat Bran Cereal (Fat Not Added in Cooking),10,33,8.99,0,0.96,2.1,0.7,g,100,g,0.323,100,0.376,73,2.35,0.18,100 g,53250,https://www.fatsecret.com/calories-nutrition/generic/oat-bran-cereal-cooked-fat-not-added-in-cooking?portionid=53250&portionamount=100.000,130,0.2,0,0,,,,,,
fast,4571,Oat Bran Cereal (Fat Added in Cooking),10,60,8.76,0,4.05,2,0.68,g,100,g,1.791,100,1.281,71,2.28,0.762,100 g,53251,https://www.fatsecret.com/calories-nutrition/generic/oat-bran-cereal-cooked-fat-added-in-cooking?portionid=53251&portionamount=100.000,151,0.19,33,0,,,,,,
fast,4574,Oat Bran Cereal made with Milk (Fat Added in Cooking),125,109,13.29,7,5.97,2,0.69,g,100,g,2.283,100,1.352,219,5.53,1.966,100 g,53254,https://www.fatsecret.com/calories-nutrition/generic/oat-bran-cereal-cooked-made-with-milk-fat-added-in-cooking?portionid=53254&portionamount=100.000,187,5.38,78,0.1,,,,,,
fast,3244,Cooked Dry Chickpeas (Fat Added in Cooking),44,236,27.55,0,10.7,7.9,2.27,g,100,g,3.301,100,5.138,278,8.77,1.288,100 g,51924,https://www.fatsecret.com/calories-nutrition/generic/chickpeas-dry-cooked-fat-added-in-cooking?portionid=51924&portionamount=100.000,242,4.86,1,1.3,,,,,,
fast,3242,Cooked Dry Cowpeas (Fat Not Added in Cooking),24,115,20.64,0,0.53,6.5,2.5,g,100,g,0.044,100,0.224,276,7.68,0.137,100 g,51922,https://www.fatsecret.com/calories-nutrition/generic/cowpeas-dry-cooked-fat-not-added-in-cooking?portionid=51922&portionamount=100.000,235,3.28,1,0.4,,,,,,
fast,3241,Cooked Dry Cowpeas (Fat Added in Cooking),22,176,18.98,0,8.44,5.9,2.3,g,100,g,2.725,100,4.12,254,7.07,1.13,100 g,51921,https://www.fatsecret.com/calories-nutrition/generic/cowpeas-dry-cooked-fat-added-in-cooking?portionid=51921&portionamount=100.000,235,3.02,1,0.4,,,,,,
fast,4565,Wheat and Barley Whole Wheat Cereal (Fat Added in Cooking),9,98,14.48,0,4.06,0.8,0.62,g,100,g,1.78,100,1.228,93,2.09,0.749,100 g,53245,https://www.fatsecret.com/calories-nutrition/generic/whole-wheat-cereal-wheat-and-barley-cooked-fat-added-in-cooking?portionid=53245&portionamount=100.000,108,0.12,38,0,,,,,,
fast,5896,Cooked Dandelion Greens (Fat Added in Cooking),133,61,6.16,0,3.92,2.8,1.72,g,100,g,1.591,100,1.23,221,1.9,0.767,100 g,54576,https://www.fatsecret.com/calories-nutrition/generic/dandelion-greens-cooked-fat-added-in-cooking?portionid=54576&portionamount=100.000,406,2.59,505,17.1,,,,,,
fast,4326,Fat Free Tortilla Corn Chips,147,320,63.1,2,3.93,3.6,0.9,g,100,g,1.379,100,1.495,396,8.1,1.054,100 g,53006,https://www.fatsecret.com/calories-nutrition/generic/salty-snacks-corn-or-cornmeal-base-tortilla-chips-fat-free-made-with-olean?portionid=53006&portionamount=100.000,792,1.92,4,0,,,,,,
fast,6503,Cooked Green Cabbage (Fat Added in Cooking),30,42,4.36,0,2.79,1.8,0.17,g,100,g,1.152,100,0.886,94,0.99,0.497,100 g,55183,https://www.fatsecret.com/calories-nutrition/generic/cabbage-green-cooked-fat-added-in-cooking?portionid=55183&portionamount=100.000,276,2.81,31,19.4,,,,,,
fast,6508,Cooked Celery (Fat Not Added in Cooking),42,18,3.99,0,0.16,1.6,0.42,g,100,g,0.03,100,0.075,283,0.83,0.04,100 g,55188,https://www.fatsecret.com/calories-nutrition/generic/celery-cooked-fat-not-added-in-cooking?portionid=55188&portionamount=100.000,296,2.36,29,6.1,,,,,,
fast,3255,Cooked Lentils (Fat Not Added in Cooking),19,115,20.01,0,0.38,7.9,3.31,g,100,g,0.064,100,0.174,367,8.97,0.053,100 g,51935,https://www.fatsecret.com/calories-nutrition/generic/lentils-dry-cooked-fat-not-added-in-cooking?portionid=51935&portionamount=100.000,233,1.79,0,1.5,,,,,,
fast,889,2% Reduced Fat Chocolate Milk,109,76,12.13,8,1.9,0.7,0.24,g,100,g,0.455,100,0.089,169,2.99,1.177,100 g,49569,https://www.fatsecret.com/calories-nutrition/generic/milk-chocolate-reduced-fat-milk-based-2%25-(formerly-lowfat)?portionid=49569&portionamount=100.000,66,9.55,64,0,,,,,,
fast,6516,"""Cooked Yellow Corn (from Canned"," Fat Not Added in Cooking)""",5,81,18.59,0,1,2,0.86,g,100,g,0.292,100,0.471,195,2.62,0.154,100 g,55196,https://www.fatsecret.com/calories-nutrition/generic/corn-yellow-cooked-from-canned-fat-not-added-in-cooking?portionid=55196&portionamount=100.000,214,3.5,4,8.1,,,,,
fast,6531,Cooked Bitter Melon (Fat Added in Cooking),9,44,4.21,0,3.03,1.9,0.37,g,100,g,1.383,100,0.914,306,0.81,0.551,100 g,55211,https://www.fatsecret.com/calories-nutrition/generic/bitter-melon-cooked-fat-added-in-cooking?portionid=55211&portionamount=100.000,239,1.87,35,31.6,,,,,,
fast,9581616,Fat Bomb,107,700,12.11,49,74.45,3.6,2.25,g,100,g,20.38,100,5.627,372,6.75,44.125,100 g,9160972,https://www.fatsecret.com/calories-nutrition/generic/fat-bomb?portionid=9160972&portionamount=100.000,289,2.75,157,0.3,,,,,,
fast,1079,Fat Free Half and Half Cream,96,59,9,5,1.4,0,0,g,100,g,0.384,100,0.052,206,2.6,0.841,100 g,49759,https://www.fatsecret.com/calories-nutrition/generic/cream-half-and-half-fat-free?portionid=49759&portionamount=100.000,144,5,12,0.7,,,,,,
fast,37681,"""Beef Bottom Sirloin (Tri-Tip Roast", Trimmed to 0\ Fat, Cooked," Roasted)""",19,208,0,84,11.07,0,1.66,g,100,g,5.481,100,0.363,323,26.05,4.071,100 g,60412,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-trimmed-to-0-fat-cooked-roasted)?portionid=60412&portionamount=100.000,53,0,0,0,,,
fast,37440,"""Beef Porterhouse Steak (Trimmed to 1/4\ Fat", Cooked," Broiled)""",8,329,0,72,25.84,0,2.68,g,100,g,11.555,100,0.999,255,22.51,10.167,100 g,60171,https://www.fatsecret.com/calories-nutrition/usda/beef-porterhouse-steak-(trimmed-to-1-4-fat-cooked-broiled)?portionid=60171&portionamount=100.000,62,0,0,0,,,,
fast,37441,"""Beef Porterhouse Steak (Trimmed to 0\ Fat", Cooked," Broiled)""",7,276,0,67,19.27,0,2.94,g,100,g,8.65,100,0.69,299,23.96,7.271,100 g,60172,https://www.fatsecret.com/calories-nutrition/usda/beef-porterhouse-steak-(trimmed-to-0-fat-cooked-broiled)?portionid=60172&portionamount=100.000,65,0,0,0,,,,
fast,37683,"""Beef Bottom Sirloin (Tri-Tip Roast", Trimmed to 0\ Fat, Choice Grade, Cooked," Roasted)""",17,218,0,94,12.36,0,1.7,g,100,g,6.121,100,0.406,308,25.66,4.546,100 g,60414,https://www.fatsecret.com/calories-nutrition/usda/beef-bottom-sirloin-(tri-tip-roast-trimmed-to-0-fat-choice-grade-cooked-roasted)?portionid=60414&portionamount=100.000,50,0,0,0,,
fast,6368,"""Cooked String Beans (from Canned"," Fat Not Added in Cooking)""",26,20,4.5,0,0.1,1.9,0.9,g,100,g,0.004,100,0.051,109,1.15,0.022,100 g,55048,https://www.fatsecret.com/calories-nutrition/generic/beans-string-cooked-from-canned-fat-not-added-in-cooking?portionid=55048&portionamount=100.000,262,0.96,22,4.3,,,,,
fast,37442,"""Beef Porterhouse Steak (Trimmed to 0\ Fat", Choice Grade, Cooked," Broiled)""",7,283,0,69,20.15,0,2.96,g,100,g,9.275,100,0.676,278,23.61,7.43,100 g,60173,https://www.fatsecret.com/calories-nutrition/usda/beef-porterhouse-steak-(trimmed-to-0-fat-choice-grade-cooked-broiled)?portionid=60173&portionamount=100.000,65,0,0,0,,,
fast,6367,Cooked Bamboo Shoots (Fat Not Added in Cooking),13,28,5.33,0,0.31,2.3,0.49,g,100,g,0.007,100,0.137,492,2.66,0.071,100 g,55047,https://www.fatsecret.com/calories-nutrition/generic/bamboo-shoots-cooked-fat-not-added-in-cooking?portionid=55047&portionamount=100.000,242,3.07,1,3.3,,,,,,
fast,37201,"""Beef Ribs (Whole", Lean Only, Trimmed to 1/4\ Fat," Choice Grade)""",8,170,0,59,9.43,0,2.14,g,100,g,3.88,100,0.34,354,19.83,3.78,100 g,59932,https://www.fatsecret.com/calories-nutrition/usda/beef-ribs-(whole-lean-only-trimmed-to-1-4-fat-choice-grade)?portionid=59932&portionamount=100.000,65,,0,0,,,
