category,food_id,food_name,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,metric_serving_amount,metric_serving_unit,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,serving_description,serving_id,serving_url,sodium,sugar,vitamin_a,vitamin_c,,,,,,
vegetables,6705,Cooked Peas with Mushrooms (Fat Not Added in Cooking),20,68,12.43,0,0.31,4.8,1.56,g,100,g,0.021,100,0.139,157,4.54,0.051,100 g,55385,https://www.fatsecret.com/calories-nutrition/generic/peas-with-mushrooms-cooked-fat-not-added-in-cooking?portionid=55385&portionamount=100.000,290,4.14,84,8.7,,,,,,
vegetables,5859,"""Puerto Rican Style Starchy Vegetables (Viandas", including Yam, White Sweetpotato, Tannier," No Plantain)""",16,142,33.89,0,0.19,3.3,0.47,g,100,g,0.036,100,0.051,442,1.16,0.047,100 g,54539,https://www.fatsecret.com/calories-nutrition/generic/starchy-vegetables-puerto-rican-style-including-yam-white-sweetpotato-tannier-no-plantain-(viandas)?portionid=54539&portionamount=100.000,247,1.01,3,11.5,,
vegetables,5870,Collards,145,30,5.69,0,0.42,3.6,0.19,g,100,g,0.03,100,0.201,169,2.45,0.055,100 g,54550,https://www.fatsecret.com/calories-nutrition/generic/collards-raw?portionid=54550&portionamount=100.000,20,0.46,333,35.3,,,,,,
vegetables,5871,Cooked Collards,136,42,4.81,0,2.24,2.7,1.13,g,100,g,0.918,100,0.722,113,2.05,0.4,100 g,54551,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-ns-as-to-fat-added-in-cooking?portionid=54551&portionamount=100.000,269,0.39,413,17.7,,,,,,
vegetables,5872,Cooked Collards (from Fresh),136,42,4.81,0,2.24,2.7,1.13,g,100,g,0.918,100,0.722,113,2.05,0.4,100 g,54552,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-fresh?portionid=54552&portionamount=100.000,269,0.39,413,17.7,,,,,,
vegetables,5873,Cooked Collards (from Frozen),203,54,6.93,0,2.5,2.7,1.09,g,100,g,1.015,100,0.821,243,2.88,0.454,100 g,54553,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-frozen?portionid=54553&portionamount=100.000,278,0.55,578,25.5,,,,,,
vegetables,3207,Cooked Soybeans (Fat Not Added in Cooking),102,172,9.87,0,8.92,6,5.11,g,100,g,1.969,100,5.034,512,16.54,1.289,100 g,51887,https://www.fatsecret.com/calories-nutrition/generic/soybeans-cooked-fat-not-added-in-cooking?portionid=51887&portionamount=100.000,232,2.98,0,1.7,,,,,,
vegetables,6711,"""Oriental Style Vegetable Combinations (Broccoli", Green Pepper,  Water Chestnuts," Fat Not Added in Cooking)""",24,37,7.61,0,0.22,2.6,0.96,g,100,g,0.011,100,0.094,267,2.54,0.036,100 g,55391,https://www.fatsecret.com/calories-nutrition/generic/vegetable-combinations-oriental-style-(broccoli-green-pepper--water-chestnuts-etc)-cooked-fat-not-added-in-cooking?portionid=55391&portionamount=100.000,238,2.78,44,36.9,,,
vegetables,5863,Cooked Beet Greens,110,48,5.31,0,2.67,2.8,1.83,g,100,g,1.205,100,0.793,875,2.48,0.494,100 g,54543,https://www.fatsecret.com/calories-nutrition/generic/beet-greens-cooked?portionid=54543&portionamount=100.000,501,0.58,394,24,,,,,,
vegetables,5864,Cooked Beet Greens (Fat Not Added in Cooking),113,27,5.42,0,0.2,2.9,1.89,g,100,g,0.038,100,0.07,903,2.55,0.031,100 g,54544,https://www.fatsecret.com/calories-nutrition/generic/beet-greens-cooked-fat-not-added-in-cooking?portionid=54544&portionamount=100.000,496,0.6,380,24.7,,,,,,
vegetables,5865,Cooked Beet Greens (Fat Added in Cooking),110,48,5.31,0,2.67,2.8,1.83,g,100,g,1.205,100,0.793,875,2.48,0.494,100 g,54545,https://www.fatsecret.com/calories-nutrition/generic/beet-greens-cooked-fat-added-in-cooking?portionid=54545&portionamount=100.000,501,0.58,394,24,,,,,,
vegetables,5866,Chard,51,19,3.74,0,0.2,1.6,1.8,g,100,g,0.04,100,0.07,379,1.8,0.03,100 g,54546,https://www.fatsecret.com/calories-nutrition/generic/chard-raw?portionid=54546&portionamount=100.000,213,1.1,306,30,,,,,,
vegetables,6715,"""Cooked Vegetable Combination (Green Beans", Broccoli, Onions and Mushrooms," Fat Not Added in Cooking)""",31,28,5.94,0,0.18,2.6,0.81,g,100,g,0.009,100,0.08,161,1.92,0.033,100 g,55395,https://www.fatsecret.com/calories-nutrition/generic/vegetable-combination-(green-beans-broccoli-onions-mushrooms)-cooked-fat-not-added-in-cooking?portionid=55395&portionamount=100.000,240,1.76,26,14.5,,,
vegetables,6714,"""Cooked Vegetable Combination (Green Beans", Broccoli," Onions and Mushrooms)""",30,49,5.81,0,2.68,2.5,0.79,g,100,g,1.19,100,0.811,156,1.86,0.502,100 g,55394,https://www.fatsecret.com/calories-nutrition/generic/vegetable-combination-(green-beans-broccoli-onions-mushrooms)-cooked?portionid=55394&portionamount=100.000,253,1.71,52,14,,,,
vegetables,6716,"""Cooked Vegetable Combination (Green Beans", Broccoli, Onions and Mushrooms," Fat Added in Cooking)""",30,49,5.81,0,2.68,2.5,0.79,g,100,g,1.19,100,0.811,156,1.86,0.502,100 g,55396,https://www.fatsecret.com/calories-nutrition/generic/vegetable-combination-(green-beans-broccoli-onions-mushrooms)-cooked-fat-added-in-cooking?portionid=55396&portionamount=100.000,253,1.71,52,14,,,
vegetables,5880,"""Cooked Collards (from Fresh"," Fat Added in Cooking)""",136,42,4.82,0,2.24,2.7,1.13,g,100,g,0.919,100,0.723,113,2.05,0.401,100 g,54560,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-fresh-fat-added-in-cooking?portionid=54560&portionamount=100.000,221,0.39,414,17.7,,,,,
vegetables,5881,"""Cooked Collards (from Frozen"," Fat Added in Cooking)""",203,54,6.93,0,2.5,2.7,1.09,g,100,g,1.015,100,0.821,243,2.88,0.454,100 g,54561,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-frozen-fat-added-in-cooking?portionid=54561&portionamount=100.000,278,0.55,578,25.5,,,,,
vegetables,6971,Creamed Cabbage,70,79,6.58,3,5.05,1.1,0.24,serving (100g),100,g,2.018,1,1.403,123,2.29,1.321,1 serving (100 g),26449,https://www.fatsecret.com/calories-nutrition/generic/cabbage-creamed?portionid=26449&portionamount=1.000,305,3.56,45,11.3,,,,,,
vegetables,6970,Creamed Brussels Sprouts (from Fresh),72,85,8.02,3,5.01,1.5,0.81,g,100,g,1.988,100,1.417,245,3.12,1.328,100 g,55650,https://www.fatsecret.com/calories-nutrition/generic/brussels-sprouts-from-fresh-creamed?portionid=55650&portionamount=100.000,169,2.9,62,34.8,,,,,,
vegetables,5882,"""Cooked Collards (from Canned"," Fat Added in Cooking)""",136,42,4.81,0,2.24,2.7,1.13,g,100,g,0.918,100,0.722,113,2.05,0.4,100 g,54562,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-canned-fat-added-in-cooking?portionid=54562&portionamount=100.000,269,0.39,413,17.7,,,,,
vegetables,6731,Cooked Japanese Radish (Daikon) (Fat Not Added in Cooking),27,19,4.34,0,0.11,1.7,0.4,g,100,g,0.018,100,0.048,216,0.63,0.032,100 g,55411,https://www.fatsecret.com/calories-nutrition/generic/radish-japanese-(daikon)-cooked-fat-not-added-in-cooking?portionid=55411&portionamount=100.000,267,2.64,0,16.3,,,,,,
vegetables,5883,Cress,81,32,5.5,0,0.7,1.1,1.3,g,100,g,0.239,100,0.228,606,2.6,0.023,100 g,54563,https://www.fatsecret.com/calories-nutrition/generic/cress-raw?portionid=54563&portionamount=100.000,14,4.4,346,69,,,,,,
vegetables,6973,Stuffed Mushrooms,164,281,26.28,14,14.64,2.3,2.09,g,100,g,5.789,100,3.53,377,11.56,4.156,100 g,55653,https://www.fatsecret.com/calories-nutrition/generic/mushrooms-stuffed?portionid=55653&portionamount=100.000,592,3.86,100,4.7,,,,,,
vegetables,6729,"""Cooked Hot Peppers (from Fresh"," Fat Added in Cooking)""",17,68,9.56,0,3.26,1.5,1.15,g,100,g,1.045,100,1.617,309,2.02,0.408,100 g,55409,https://www.fatsecret.com/calories-nutrition/generic/peppers-hot-cooked-from-fresh-fat-added-in-cooking?portionid=55409&portionamount=100.000,7,5.16,54,196.1,,,,,
vegetables,5874,Cooked Collards (from Canned),136,42,4.81,0,2.24,2.7,1.13,g,100,g,0.918,100,0.722,113,2.05,0.4,100 g,54554,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-canned?portionid=54554&portionamount=100.000,269,0.39,413,17.7,,,,,,
